transactionAmount,dateTimeTransaction,merchantCategoryCode,acquiringInstitutionCode,cardAcceptorId,cardBalance,channel,transactionOrigin,transactionType,entityId,latitude,longitude
92748.41,1685886770,3423,7788,1870192,69326.71,POS,Website,Subscription,EKCZSH8MA5,58.3786073,11.4865869
31318.4,1710937484,3423,4618,4616811,3111.99,PHONE,On-Site,Payment Withdrawal,OTYJVD5UH6,36.0802326,-86.8320743
99368.32,1694668201,2542,661,5527548,36560,PHONE,Order,Order,XYBTQO2NP7,47.3920847,8.5382066
38896.44,1700769052,7553,1920,8584425,48830.12,ATM,Website,ECOM,OTYJVD5UH6,47.8225694,0.3908219
34376.14,1705608733,9853,3176,5947784,40700.19,WEB,Website,Order,RWUDGJ6LC3,45.7608012,15.8843252
23409.63,1700601511,437,2107,9421942,19263.09,WEB,Order,Purchase,EKCZSH8MA5,12.4315534,-86.8722146
87232.96,1693451766,4788,2642,5788079,99111.85,POS,App,ECOM,HNKFAI9VE2,20.2258318,-74.1533563
44267.8,1706540010,437,7566,1270759,5145.21,POS,ECOM,Payment Withdrawal,EKCZSH8MA5,48.4914852,-4.0442397
2095.24,1695990124,7139,8150,5154462,45931.15,POS,App,ECOM,EKCZSH8MA5,-6.6760058,111.0102737
71342.72,1697713426,2247,8437,1734672,65034.24,POS,Website,Subscription,RWUDGJ6LC3,28.644598,77.069038
49784.32,1695664728,8126,2699,676380,40704.88,POS,On-Site,Order,OTYJVD5UH6,28.697014,111.514354
70094.27,1684486441,2777,6571,8305820,22609.23,WEB,On-Site,ECOM,PMXLSZ4QR1,14.8162948,120.2835463
29573.55,1689462932,2204,7993,3577854,84879.87,ATM,App,ECOM,EKCZSH8MA5,59.2669111,17.8885705
4839.57,1681139557,9230,8425,4323071,50827.12,MOBILE,App,Subscription,XYBTQO2NP7,34.5631817,-4.965185
29821.3,1700464137,3497,1002,5838177,42134.37,POS,Order,Payment Withdrawal,XYBTQO2NP7,13.8303,121.401
88568.95,1695263246,7068,608,9563225,73283.57,MOBILE,Website,ECOM,RWUDGJ6LC3,53.5220275,-6.1535181
13314.34,1710807564,3888,657,201735,66858.07,WEB,ECOM,ECOM,RWUDGJ6LC3,63.8436672,20.3049868
63925.08,1692579656,9080,4668,6738935,30094.94,PHONE,Order,Purchase,RWUDGJ6LC3,52.4957047,20.01446
20476.17,1709861538,8539,5884,8262028,33272.49,ECOM,ECOM,Order,PMXLSZ4QR1,24.7932832,68.3001994
683.9,1687094658,7468,8222,8559321,44943.12,POS,ECOM,Subscription,OTYJVD5UH6,54.1990589,17.3704847
30830.78,1687137678,2154,3319,8579384,56812.68,ECOM,ECOM,ECOM,HNKFAI9VE2,6.8928179,125.1635402
1158.68,1683193864,731,4636,4670622,96142.71,WEB,On-Site,Subscription,OTYJVD5UH6,56.2620262,15.6049677
94523.3,1687326747,7788,2625,5760474,95033.25,POS,App,ECOM,OTYJVD5UH6,42.9782326,-7.5626411
93378.71,1704054131,9221,1821,21648,86617.64,POS,App,Subscription,RWUDGJ6LC3,54.2874959,40.3591276
86412.62,1693216920,7215,3415,2709987,13627.8,ECOM,ECOM,Payment Withdrawal,RWUDGJ6LC3,51.6078941,20.0494724
85280.81,1699547789,7231,6437,6131363,27742.82,WEB,Website,ECOM,OTYJVD5UH6,7.9187344,125.3297787
26233.58,1702113228,1899,7176,5917278,69476.08,WEB,On-Site,ECOM,RWUDGJ6LC3,61.8342207,-6.816861
24212.04,1684746052,1163,3305,6601034,79870.02,ECOM,Website,Order,OTYJVD5UH6,48.64989,-53.11474
82653.44,1690287913,9612,9351,9606250,90952.25,POS,Order,Subscription,HNKFAI9VE2,7.755354,-76.6554309
10294.67,1686155869,4822,5825,3684322,84567.44,ATM,On-Site,Order,EKCZSH8MA5,55.3578708,50.5809058
7150.97,1702901328,637,9201,901418,32028.21,ECOM,Order,Order,RWUDGJ6LC3,-6.7387737,106.8768415
84574.06,1703041799,555,7208,5030062,47040.33,MOBILE,Order,Purchase,PMXLSZ4QR1,-21.1880429,-43.9759925
20876.99,1709739791,1530,2781,1327575,392.16,POS,On-Site,Order,XYBTQO2NP7,40.9370022,45.1804861
43499.17,1696949256,7719,3122,1015516,16931.98,PHONE,ECOM,ECOM,HNKFAI9VE2,33.0405226,112.232972
19210.62,1707371393,9518,6952,9738620,93895.23,MOBILE,Website,ECOM,PMXLSZ4QR1,50.246964,120.1896411
20522.49,1700511676,8124,7308,5571459,34637.7,ECOM,Order,Subscription,EKCZSH8MA5,59.4051316,13.5451563
6009.93,1697031560,9935,5494,3151903,91784.83,ECOM,Order,Purchase,RWUDGJ6LC3,37.2629988,139.8048354
39174.72,1702972240,6355,3798,2708301,25382.92,MOBILE,Website,Subscription,HNKFAI9VE2,17.7409147,-91.7660525
99026.59,1701159973,4726,2212,3921300,71460.4,WEB,Website,Subscription,PMXLSZ4QR1,41.96571,22.7708273
41116.48,1701585167,8138,6210,647478,42898.65,WEB,Order,Subscription,PMXLSZ4QR1,43.298735,5.3825978
24942.11,1694945813,1223,9426,7636114,7263.89,ATM,ECOM,Purchase,OTYJVD5UH6,25.6833446,89.0370477
64628.52,1706325559,8266,9487,612324,78635.63,ATM,ECOM,Subscription,HNKFAI9VE2,-6.6111441,106.8473377
7049,1697551333,8459,5379,68556,75854.13,PHONE,ECOM,Purchase,RWUDGJ6LC3,-11.9929208,-77.0518169
67428.61,1710929357,9565,9174,1092297,225.51,WEB,On-Site,Payment Withdrawal,OTYJVD5UH6,-0.789275,113.921327
80070.27,1689489069,7515,8789,7801786,72160.86,ATM,On-Site,Payment Withdrawal,XYBTQO2NP7,34.5871389,73.912451
31445.88,1705949727,8719,7505,2437202,85615.24,ECOM,Order,Purchase,XYBTQO2NP7,3.698492,-73.697308
17713.05,1700262800,2033,1417,9218743,93512.52,PHONE,Order,Order,XYBTQO2NP7,-6.1604549,106.9054618
92259.02,1701378276,4170,4034,3718387,63707.42,MOBILE,App,Payment Withdrawal,EKCZSH8MA5,-6.8637417,107.5902556
45712.98,1682623036,1581,1633,4851766,94192.19,ATM,ECOM,ECOM,OTYJVD5UH6,9.315382,-82.157199
35769.15,1681482244,3475,7733,8702349,80787.75,POS,On-Site,ECOM,EKCZSH8MA5,38.5142512,116.5977552
19694.61,1687898416,2051,621,6904631,41609.62,PHONE,ECOM,Payment Withdrawal,EKCZSH8MA5,-6.7077,105.8906
89564.08,1694330716,5300,1071,5862117,1199.28,PHONE,Website,Payment Withdrawal,HNKFAI9VE2,-7.2576752,112.7514577
69382.2,1697048531,134,630,4213390,1029.99,MOBILE,Website,ECOM,RWUDGJ6LC3,33.011529,114.022298
49474.11,1686396213,3896,3509,3063627,41484.72,PHONE,ECOM,Purchase,RWUDGJ6LC3,39.8551211,44.6942731
25862.79,1687831944,9735,8006,599226,89774.23,PHONE,Website,Order,RWUDGJ6LC3,59.3409629,18.0669843
83322.2,1682982194,320,6030,1904397,60109.74,WEB,On-Site,Subscription,HNKFAI9VE2,24.086481,112.346259
74640.09,1706780994,3114,4400,4577108,68540.78,PHONE,On-Site,Purchase,OTYJVD5UH6,8.9308058,-79.7343791
664.17,1705428814,9648,2288,5682216,67695.85,ATM,Order,Subscription,XYBTQO2NP7,48.25115,32.20795
88369.16,1707902299,6351,3381,4570580,34350.49,MOBILE,ECOM,Order,RWUDGJ6LC3,-6.9301649,108.7987084
53607.15,1703187241,7564,9008,4769392,26257.33,PHONE,On-Site,Subscription,XYBTQO2NP7,24.7021073,121.7377502
77221.3,1688641087,8561,4959,324997,34148.67,WEB,Order,Order,XYBTQO2NP7,-11.70753,-75.022621
16463.08,1693391333,248,1088,3650857,43547.02,PHONE,Website,Order,EKCZSH8MA5,-30.8493976,-51.8048311
73520.6,1693914907,7707,1541,7057378,49699.07,WEB,Website,ECOM,OTYJVD5UH6,32.601214,119.17604
65932.14,1707189836,5240,2698,2351080,43104.77,PHONE,Website,Payment Withdrawal,RWUDGJ6LC3,46.2476549,13.5791749
57699.57,1684731275,8848,4899,7489195,39459.77,MOBILE,On-Site,Subscription,XYBTQO2NP7,60.562013,29.8532768
69236.9,1681280734,8407,3355,1461939,22570.81,PHONE,ECOM,Payment Withdrawal,HNKFAI9VE2,-11.268661,-37.43854
63682.59,1693110594,2216,955,114814,52226.53,WEB,App,Subscription,XYBTQO2NP7,-8.3910094,120.3031871
87749.16,1701392482,4334,8253,1114449,21899.29,MOBILE,App,Purchase,XYBTQO2NP7,23.797309,115.445538
33844,1710415962,797,2703,4771787,27248.07,POS,ECOM,Payment Withdrawal,XYBTQO2NP7,36.4072574,10.6224706
26855.39,1705927933,8500,5701,4540900,85409.86,ATM,ECOM,Order,HNKFAI9VE2,28.682309,118.244769
70322.92,1688198654,2684,2926,6025471,55821.64,ECOM,App,Order,HNKFAI9VE2,59.25863,18.0094438
37445.32,1692514876,9065,2258,5090348,60942.45,POS,Website,Subscription,EKCZSH8MA5,50.0105928,12.624753
4357.66,1700492696,3419,1526,5290087,50093.59,PHONE,App,Purchase,HNKFAI9VE2,49.8408638,13.2326832
52610.72,1684064774,8767,399,9603278,36158.37,PHONE,App,Purchase,XYBTQO2NP7,53.5585675,17.7161093
36739.17,1710728133,117,5649,450383,87061.73,POS,Order,Payment Withdrawal,PMXLSZ4QR1,51.3268314,28.8028968
64185.54,1691190993,7717,6676,3152215,14848.79,POS,App,Subscription,EKCZSH8MA5,-7.4703872,110.9387418
11300.49,1681893617,966,6201,2009544,82452.34,PHONE,Order,Subscription,EKCZSH8MA5,30.037192,121.154634
58764.45,1697827294,7715,3749,565404,54612.79,WEB,On-Site,ECOM,RWUDGJ6LC3,10.4818973,124.0211737
30031.74,1695760876,2953,6474,5055603,25377.77,MOBILE,Order,Purchase,RWUDGJ6LC3,42.7415586,-84.5050878
44715.44,1684347572,5762,6539,1108236,80407.39,ECOM,Order,Purchase,EKCZSH8MA5,33.2437603,131.6853045
53015.73,1709630515,6884,48,2489212,29554.94,ECOM,On-Site,Purchase,OTYJVD5UH6,-4.8824092,29.6615055
58017.72,1711504291,4654,5042,8468339,76488.58,ECOM,ECOM,ECOM,OTYJVD5UH6,-9.916667,-75.783333
27066.22,1711897834,3322,5026,7491977,75304.82,POS,On-Site,Order,XYBTQO2NP7,-35.3714074,174.0890941
92544.18,1702885321,6119,9557,3892319,71210.21,ATM,ECOM,Order,PMXLSZ4QR1,42.1090506,48.1941426
21118.69,1690079192,4627,8004,6477137,38991.15,PHONE,Order,Payment Withdrawal,HNKFAI9VE2,52.4500648,4.5789114
80841.22,1701752998,6143,8927,72663,60101.49,ATM,Website,Purchase,HNKFAI9VE2,38.9583005,-104.7812654
71965.93,1702655450,3152,3570,3302013,78120.57,POS,Website,Payment Withdrawal,HNKFAI9VE2,37.3551423,140.3637407
53474.03,1700885602,1572,6294,4215613,26018.63,ECOM,On-Site,Subscription,OTYJVD5UH6,41.853191,124.038685
15934.9,1691300453,199,706,3757987,24617.48,ATM,Website,Payment Withdrawal,EKCZSH8MA5,60.2474501,30.4461356
57919.87,1707763010,5583,3263,4219826,25244.49,ECOM,App,Subscription,XYBTQO2NP7,37.075814,120.468847
92782.8,1688965780,9152,1542,4618137,79100.15,PHONE,ECOM,ECOM,RWUDGJ6LC3,-10.5676,121.9306
85706.75,1687975643,5363,4634,152048,58946.49,ATM,Order,ECOM,EKCZSH8MA5,24.614944,104.740588
87163.03,1711425505,2074,3874,2614250,68841.88,PHONE,ECOM,Order,OTYJVD5UH6,64.1405188,-21.9494552
24901.24,1696535880,1123,4150,5180107,54254.64,WEB,ECOM,Subscription,XYBTQO2NP7,49.7694382,13.5090071
51703.74,1688384982,3881,4053,7724844,62528.96,ATM,ECOM,Order,OTYJVD5UH6,50.2709514,22.0218252
46763.28,1699192892,9256,7632,7156506,69117.61,MOBILE,Website,Purchase,XYBTQO2NP7,-1.8413007,34.6690605
95120.38,1691253287,5365,4020,9870694,85231.2,MOBILE,App,ECOM,HNKFAI9VE2,-31.9478653,115.8693718
23151.24,1699705182,8099,4595,1768575,57503.89,ECOM,ECOM,Payment Withdrawal,OTYJVD5UH6,8.9282133,-74.5697617
3304.76,1689313272,958,3396,330499,71555.94,POS,ECOM,Purchase,RWUDGJ6LC3,20.775698,-103.6951543
94698.85,1705989148,2054,6520,6921769,97919.27,ATM,ECOM,Purchase,XYBTQO2NP7,55.68871,46.13865
68904.39,1702705185,4250,8829,2158978,4657.83,ATM,On-Site,Payment Withdrawal,EKCZSH8MA5,38.627867,114.506303
15640.39,1708463748,1710,4997,8429251,59934.44,WEB,ECOM,ECOM,HNKFAI9VE2,41.7458012,-87.6087638
18798.94,1683662634,5263,1695,5306688,43721,MOBILE,Website,ECOM,XYBTQO2NP7,39.0000158,140.0433007
64036.46,1692360911,1202,1286,1314813,33165.78,ECOM,App,Subscription,OTYJVD5UH6,17.0056829,120.9221678
50765.53,1682861914,154,9023,5934491,45535.73,MOBILE,Order,Purchase,XYBTQO2NP7,50.0436913,19.0921373
34875.69,1701444756,1071,5055,2667042,65010.84,MOBILE,ECOM,Purchase,XYBTQO2NP7,32.187123,34.823124
49909.06,1690697628,5685,1082,3608780,58338.73,POS,On-Site,Order,EKCZSH8MA5,52.177639,-1.585418
20146.61,1684255968,9049,8563,1462834,43001.72,ECOM,App,Purchase,PMXLSZ4QR1,47.7334545,-3.4955428
60468.73,1696982434,7836,8524,7770860,28864.84,ECOM,ECOM,Subscription,PMXLSZ4QR1,25.5461164,-76.7711626
66886.7,1709222888,4007,9177,9734063,78190.58,WEB,On-Site,Purchase,XYBTQO2NP7,26.887238,109.735661
78672.84,1684252088,5046,3274,1764720,99191.88,WEB,App,Purchase,PMXLSZ4QR1,-28.3284196,27.6317494
75483.75,1695419776,2838,3657,9230206,92926.16,MOBILE,ECOM,Purchase,EKCZSH8MA5,-7.355927,110.6422198
48186.82,1700723197,9653,9389,9938003,86650.55,ATM,App,Order,PMXLSZ4QR1,-7.0511949,111.2517127
94597.84,1709088419,6823,9958,7246174,22815.03,WEB,Website,Order,EKCZSH8MA5,31.470305,34.999744
13820.82,1681718066,3744,2287,428091,83384.58,MOBILE,Order,ECOM,EKCZSH8MA5,51.84861,41.46056
15394.57,1692152309,9178,1828,4636402,39600.48,POS,Website,Subscription,PMXLSZ4QR1,-7.9620331,111.4723041
36148.31,1696029921,6652,5026,6572982,90804.95,MOBILE,App,Payment Withdrawal,XYBTQO2NP7,40.1721605,-8.6867786
93335.78,1702300944,4090,4165,4477516,27105.69,ATM,Website,Order,RWUDGJ6LC3,15.1858624,120.5896151
7141.13,1686596825,2570,3824,1772591,65823.16,PHONE,Website,Purchase,PMXLSZ4QR1,45.0543662,34.3179269
38529.61,1712240426,436,5928,3507240,33771.38,PHONE,Order,Order,EKCZSH8MA5,38.3275514,140.9724231
36232.95,1688787968,338,8351,4746986,58215.48,MOBILE,Website,Purchase,OTYJVD5UH6,46.4044239,14.1375549
28392.22,1697456298,1566,2279,332804,32397.31,POS,On-Site,Payment Withdrawal,PMXLSZ4QR1,41.746429,22.199654
13161.71,1706464868,3168,3658,4280410,15509.03,ATM,On-Site,Purchase,XYBTQO2NP7,45.991471,4.718821
37743.07,1706689367,7088,4599,6086617,36865.28,WEB,ECOM,ECOM,EKCZSH8MA5,28.363388,117.853172
38494.08,1702974069,8402,9491,1831865,19380.58,MOBILE,App,ECOM,XYBTQO2NP7,45.0934491,-73.9764283
22916.26,1708771652,2168,183,5102077,65062.36,ATM,ECOM,Purchase,XYBTQO2NP7,29.079175,119.64742
68177.53,1700071396,1278,1775,1603093,2923.16,POS,App,ECOM,RWUDGJ6LC3,-7.0872117,110.9134113
88575.82,1693918714,1413,7565,6989089,63319.37,PHONE,ECOM,Order,XYBTQO2NP7,38.6206914,-90.4408037
56731.44,1698162592,2569,5752,5047468,10678.38,POS,Order,Payment Withdrawal,HNKFAI9VE2,30.514352,111.402171
90719.47,1692205678,297,7211,614301,58926.33,PHONE,Order,Purchase,OTYJVD5UH6,59.3092322,18.0807273
45804.42,1681127298,1101,141,1623499,51450.42,PHONE,Order,Purchase,OTYJVD5UH6,49.8376215,18.9439837
10619.91,1707076390,5254,4650,464573,26497.91,ATM,Order,Order,PMXLSZ4QR1,14.5352162,-90.8862218
44479.36,1700335468,7100,5066,2309584,79384.42,WEB,App,ECOM,HNKFAI9VE2,36.9853085,41.8184743
3341.98,1684017970,4527,7429,6805169,34124.16,MOBILE,On-Site,Purchase,OTYJVD5UH6,31.624522,117.890354
59374.37,1711108016,1987,164,640917,25906.79,PHONE,ECOM,Purchase,OTYJVD5UH6,21.2648137,104.6427499
74566.31,1709804446,3216,2934,6747525,31835.06,PHONE,Order,Purchase,OTYJVD5UH6,-2.8429633,33.0817144
22577.85,1681254970,3544,8196,1366029,10068.9,ATM,App,Payment Withdrawal,HNKFAI9VE2,25.9369686,-81.5596427
5044.43,1697811392,8821,9324,1681906,27787.79,ATM,Website,Payment Withdrawal,EKCZSH8MA5,39.128502,113.139828
56598.3,1688336223,1243,2790,5835921,8414.76,ECOM,On-Site,Order,PMXLSZ4QR1,23.168765,113.272777
47820.12,1697546365,4380,8517,5374020,32370.13,ECOM,ECOM,Purchase,PMXLSZ4QR1,49.1168862,16.5813788
31919.62,1694436068,2577,2686,551336,64371.96,POS,App,ECOM,EKCZSH8MA5,-31.413822,-64.485902
46459.43,1698319501,1392,5403,8868658,60527.73,PHONE,On-Site,Purchase,RWUDGJ6LC3,59.4547192,15.7718467
13911.09,1682567421,8623,8051,7560568,66072.65,MOBILE,On-Site,ECOM,RWUDGJ6LC3,26.097158,115.308246
4786.8,1703871661,5724,4431,3280101,68619.22,POS,App,Subscription,RWUDGJ6LC3,54.7556556,38.8869951
9815.31,1706471993,2947,5805,4451970,76066.17,POS,Order,Purchase,EKCZSH8MA5,18.3721392,121.5111279
95977.32,1693635136,1689,1250,8713345,23772.23,PHONE,Website,Subscription,HNKFAI9VE2,51.7667457,20.2459993
31770.1,1706235096,545,5506,3859354,55835.44,ATM,App,ECOM,HNKFAI9VE2,40.5329933,50.0035678
72833.16,1702619835,4422,5136,1322083,85814.57,MOBILE,Order,Subscription,RWUDGJ6LC3,40.7608571,-73.9681265
3650.49,1694952496,280,5857,2621375,106.23,ATM,On-Site,Subscription,XYBTQO2NP7,-20.6336382,-50.5549719
32184.64,1685400364,8264,8322,7372318,87654.08,ATM,On-Site,Order,PMXLSZ4QR1,13.2143917,12.0289902
95819.31,1684430807,6470,7420,3041979,84656.55,PHONE,Order,Subscription,EKCZSH8MA5,47.9956173,0.1924459
78680.75,1690541064,8098,203,12645,73167,POS,Order,Subscription,EKCZSH8MA5,-16.9205934,35.253304
51218.65,1689598313,9726,229,3764119,30628.69,WEB,ECOM,ECOM,XYBTQO2NP7,31.1393795,-97.8047404
17051.3,1712005870,2909,7602,4683827,69150.72,ATM,ECOM,ECOM,RWUDGJ6LC3,37.56702,68.44668
40539.51,1699752567,4990,4600,5577522,48414.64,MOBILE,ECOM,Purchase,HNKFAI9VE2,49.2272998,2.8814002
78958.43,1700565203,2955,2746,2949491,63923.5,ATM,On-Site,Purchase,OTYJVD5UH6,18.412445,109.971328
47052.82,1683928827,6718,4454,4182975,39716.25,POS,Website,ECOM,HNKFAI9VE2,14.3248092,120.9774982
43730.88,1694253568,4671,5886,4628870,55914.61,ECOM,Website,Purchase,HNKFAI9VE2,-6.1989828,106.5996595
16184.42,1689902945,3958,3171,7786167,38607.26,ATM,On-Site,Purchase,OTYJVD5UH6,-8.7990258,115.2200884
85739.11,1701870426,5094,2842,9544580,8091.68,PHONE,ECOM,Purchase,PMXLSZ4QR1,6.1097207,102.2462087
3527.24,1695703563,9959,1401,677858,44652.36,POS,Order,Order,XYBTQO2NP7,55.4747442,40.4084556
85968.4,1681403004,1112,115,4347890,91116.87,PHONE,ECOM,Purchase,RWUDGJ6LC3,31.1446955,118.575306
71133.49,1683846027,4722,3872,3343909,53600.15,ATM,Website,Subscription,EKCZSH8MA5,60.6251856,28.568911
38602.95,1711523302,9147,9775,4117683,9917.36,WEB,App,ECOM,HNKFAI9VE2,50.2836918,24.6345078
60762.11,1698001830,3446,9217,6931193,53406.4,ECOM,Order,ECOM,RWUDGJ6LC3,46.176012,129.425798
47523.25,1704634365,6279,7976,1138139,4832.76,ECOM,Website,Purchase,XYBTQO2NP7,10.5388499,6.4356937
32563.12,1691638122,9595,3655,3752006,1866.89,MOBILE,Website,Payment Withdrawal,HNKFAI9VE2,33.5610062,130.5635665
42796.95,1684958251,6849,3595,1535681,4833.94,PHONE,On-Site,Order,OTYJVD5UH6,-25.2739709,32.8084496
6620.03,1686577964,1960,6505,8245327,73600.16,ECOM,Website,Order,XYBTQO2NP7,14.8572534,120.6213379
57272.97,1681656064,3060,620,6801127,92768.64,WEB,App,Subscription,RWUDGJ6LC3,10.0679356,105.9464874
23788.07,1702777981,6432,1713,7875342,44734.96,PHONE,On-Site,Subscription,RWUDGJ6LC3,44.335532,85.625121
53655.81,1706750558,2703,6609,5674939,27277.48,MOBILE,App,Purchase,OTYJVD5UH6,11.5505858,41.4362457
68860.83,1697669494,9542,9462,9348268,13852.56,POS,On-Site,Order,EKCZSH8MA5,-6.9484206,110.2579036
58276.9,1709928463,344,7034,7915678,62632.4,POS,Order,ECOM,RWUDGJ6LC3,41.5728211,23.7282719
77636.72,1697549905,9745,2427,7494852,25201.57,ATM,ECOM,Subscription,EKCZSH8MA5,53.4249712,58.9688869
46506.64,1685891577,2931,7860,1214110,13713.16,ATM,App,Order,XYBTQO2NP7,55.709063,84.4188807
47195.76,1711462726,9867,7727,5781912,39413.08,MOBILE,Website,Order,RWUDGJ6LC3,26.141854,116.188408
98145.99,1700337801,5951,7971,2334048,5634.23,POS,App,Subscription,RWUDGJ6LC3,31.26179,121.423664
63927.29,1683112068,5694,1405,7957824,3404.65,PHONE,Order,Payment Withdrawal,RWUDGJ6LC3,-7.3808411,112.7554346
95131.07,1707516856,1255,9722,8628362,81658.14,MOBILE,On-Site,ECOM,RWUDGJ6LC3,56.9154663,53.3224108
463.14,1682396902,8174,4739,8939444,62618.56,ATM,Website,ECOM,HNKFAI9VE2,60.0409397,29.9879347
41476.03,1700773663,422,8883,3333563,66698.42,MOBILE,On-Site,Payment Withdrawal,HNKFAI9VE2,47.772714,-1.813332
48421.12,1710167866,3611,9475,3803832,20459.68,ECOM,ECOM,Purchase,XYBTQO2NP7,39.882122,116.2637946
75728.82,1700723359,9993,779,6803630,79801.71,ECOM,Order,Order,RWUDGJ6LC3,-12.3502374,44.5278242
63197.45,1687904686,4581,6915,3604313,13840.87,PHONE,App,Payment Withdrawal,HNKFAI9VE2,22.183206,112.305145
10995.84,1711910455,5346,104,9148847,29893.79,POS,ECOM,ECOM,RWUDGJ6LC3,50.41661,31.46261
52168.54,1696791664,1472,7870,3906737,67508.32,POS,App,Purchase,PMXLSZ4QR1,52.3323097,6.6372501
47009.85,1710121316,599,4951,3373154,38237.71,PHONE,Website,Order,OTYJVD5UH6,23.081924,113.290997
27486.33,1697312706,6283,8226,8633023,31439.58,WEB,App,Payment Withdrawal,XYBTQO2NP7,51.2343307,58.4814355
53075.79,1682014176,7294,6700,7428148,67600.69,WEB,App,Purchase,XYBTQO2NP7,50.4072694,18.7082571
